"This is a list of medallists at the Summer Olympic Games (2008) with details of the year of the olympics, city, sport, discipline, athlete name, gender, event and medal",,,,,,,,,,
,,,,,,,,,,
"DISCLAIMER: No guarantees, express or implied, as to the accuracy or completeness of the information provided. ",,,,,,,,,,
Year,City,Sport,Discipline,Athlete Name,NOC,Gender,Event,Event Gender,Medal,Position
2008,Beijing,Judo,Judo,"BRAYSON, Oscar",CUB,Men,+ 100kg (heavyweight),M,Bronze,3
2008,Beijing,Judo,Judo,"RINER, Teddy",FRA,Men,+ 100kg (heavyweight),M,Bronze,3
2008,Beijing,Judo,Judo,"ISHII, Satoshi",JPN,Men,+ 100kg (heavyweight),M,Gold,1
2008,Beijing,Judo,Judo,"TANGRIEV, Abdullo",UZB,Men,+ 100kg (heavyweight),M,Silver,2
2008,Beijing,Weightlifting,Weightlifting,"SCERBATIHS, Viktors",LAT,Men,+ 105kg,M,Bronze,3
2008,Beijing,Weightlifting,Weightlifting,"STEINER, Matthias",GER,Men,+ 105kg,M,Gold,1
2008,Beijing,Weightlifting,Weightlifting,"CHIGISHEV, Evgeny",RUS,Men,+ 105kg,M,Silver,2
2008,Beijing,Taekwondo,Taekwondo,"FALAVIGNA, Natalia",BRA,Women,+ 67 kg,W,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"STEVENSON, Sarah",GBR,Women,+ 67 kg,W,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"ESPINOZA, Maria del Rosario",MEX,Women,+ 67 kg,W,Gold,1
2008,Beijing,Taekwondo,Taekwondo,"SOLHEIM, Nina",NOR,Women,+ 67 kg,W,Silver,2
2008,Beijing,Weightlifting,Weightlifting,"GRABOVETSKAYA, Mariya",KAZ,Women,+ 75kg,W,Bronze,3
2008,Beijing,Weightlifting,Weightlifting,"JANG, Miran",KOR,Women,+ 75kg,W,Gold,1
2008,Beijing,Weightlifting,Weightlifting,"KOROBKA, Olha",UKR,Women,+ 75kg,W,Silver,2
2008,Beijing,Judo,Judo,"ORTIZ, Idalys",CUB,Women,+ 78kg (heavyweight),W,Bronze,3
2008,Beijing,Judo,Judo,"POLAVDER, Lucija",SLO,Women,+ 78kg (heavyweight),W,Bronze,3
2008,Beijing,Judo,Judo,"TONG, Wen",CHN,Women,+ 78kg (heavyweight),W,Gold,1
2008,Beijing,Judo,Judo,"TSUKADA, Maki",JPN,Women,+ 78kg (heavyweight),W,Silver,2
2008,Beijing,Taekwondo,Taekwondo,"CHILMANOV, Arman",KAZ,Men,+ 80 kg,M,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"CHUKWUMERIJE, Chika Yagazie",NGR,Men,+ 80 kg,M,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"CHA, Dongmin",KOR,Men,+ 80 kg,M,Gold,1
2008,Beijing,Taekwondo,Taekwondo,"NIKOLAIDIS, Alexandros",GRE,Men,+ 80 kg,M,Silver,2
2008,Beijing,Boxing,Boxing,"GLAZKOV, Vyacheslav",UKR,Men,+ 91kg (super heavyweight),M,Bronze,3
2008,Beijing,Boxing,Boxing,"PRICE, David",GBR,Men,+ 91kg (super heavyweight),M,Bronze,3
2008,Beijing,Boxing,Boxing,"CAMMARELLE, Roberto",ITA,Men,+ 91kg (super heavyweight),M,Gold,1
2008,Beijing,Boxing,Boxing,"ZHANG, Zhilei",CHN,Men,+ 91kg (super heavyweight),M,Silver,2
2008,Beijing,Judo,Judo,"PARETO, Paula Belen",ARG,Women,- 48 kg,W,Bronze,3
2008,Beijing,Judo,Judo,"TANI, Ryoko",JPN,Women,- 48 kg,W,Bronze,3
2008,Beijing,Judo,Judo,"DUMITRU, Alina Alexandra",ROU,Women,- 48 kg,W,Gold,1
2008,Beijing,Judo,Judo,"BERMOY, Yanet",CUB,Women,- 48 kg,W,Silver,2
2008,Beijing,Wrestling,Wrestling Free.,"MERLENI, Irini",UKR,Women,- 48kg,W,Bronze,3
2008,Beijing,Wrestling,Wrestling Free.,"STADNIK, Mariya",AZE,Women,- 48kg,W,Bronze,3
2008,Beijing,Wrestling,Wrestling Free.,"HUYNH, Carol",CAN,Women,- 48kg,W,Gold,1
2008,Beijing,Wrestling,Wrestling Free.,"ICHO, Chiharu",JPN,Women,- 48kg,W,Silver,2
2008,Beijing,Taekwondo,Taekwondo,"CONTRERAS RIVERO, Dalia",VEN,Women,- 49 kg,W,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"MONTEJO, Daynellis",CUB,Women,- 49 kg,W,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"WU, Jingyu",CHN,Women,- 49 kg,W,Gold,1
2008,Beijing,Taekwondo,Taekwondo,"PUEDPONG, Buttree",THA,Women,- 49 kg,W,Silver,2
2008,Beijing,Wrestling,Wrestling Free.,"KUDUKHOV, Besik",RUS,Men,- 55kg,M,Bronze,3
2008,Beijing,Wrestling,Wrestling Free.,"VELIKOV, Radoslav",BUL,Men,- 55kg,M,Bronze,3
2008,Beijing,Wrestling,Wrestling Free.,"CEJUDO, Henry",USA,Men,- 55kg,M,Gold,1
2008,Beijing,Wrestling,Wrestling Free.,"MATSUNAGA, Tomohiro",JPN,Men,- 55kg,M,Silver,2
2008,Beijing,Wrestling,Wrestling Gre-R,"AMOYAN, Roman",ARM,Men,- 55kg,M,Bronze,3
2008,Beijing,Wrestling,Wrestling Gre-R,"PARK, Eun-Chul",KOR,Men,- 55kg,M,Bronze,3
2008,Beijing,Wrestling,Wrestling Gre-R,"MANKIEV, Nazyr",RUS,Men,- 55kg,M,Gold,1
2008,Beijing,Wrestling,Wrestling Gre-R,"BAYRAMOV, Rovshan",AZE,Men,- 55kg,M,Silver,2
2008,Beijing,Weightlifting,Weightlifting,"IRAWAN, Eko Yuli",INA,Men,"- 56kg, total (bantamweight)",M,Bronze,3
2008,Beijing,Weightlifting,Weightlifting,"LONG, Qingquan",CHN,Men,"- 56kg, total (bantamweight)",M,Gold,1
2008,Beijing,Weightlifting,Weightlifting,"HOANG, Anh Tuan",VIE,Men,"- 56kg, total (bantamweight)",M,Silver,2
2008,Beijing,Taekwondo,Taekwondo,"CHU, Mu-Yen",TPE,Men,- 58 kg,M,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"NIKPAI, Rohullah",AFG,Men,- 58 kg,M,Bronze,3
2008,Beijing,Taekwondo,Taekwondo,"PEREZ, Guillermo",MEX,Men,- 58 kg,M,Gold,1
2008,Beijing,Taekwondo,Taekwondo,"MERCEDES, Yulis Gabriel",DOM,Men,- 58 kg,M,Silver,2
2008,Beijing,Judo,Judo,"HOUKES, Ruben",NED,Men,- 60 kg,M,Bronze,3
2008,Beijing,Judo,Judo,"SOBIROV, Rishod",UZB,Men,- 60 kg,M,Bronze,3
2008,Beijing,Judo,Judo,"CHOI, Minho",KOR,Men,- 60 kg,M,Gold,1
2008,Beijing,Judo,Judo,"PAISCHER, Ludwig",AUT,Men,- 60 kg,M,Silver,2
2008,Beijing,Athletics,Athletics,"KOGO, Micah",KEN,Men,10000m,M,Bronze,3
2008,Beijing,Athletics,Athletics,"BEKELE, Kenenisa",ETH,Men,10000m,M,Gold,1
2008,Beijing,Athletics,Athletics,"SIHINE, Sileshi",ETH,Men,10000m,M,Silver,2
2008,Beijing,Athletics,Athletics,"FLANAGAN, Shalane",USA,Women,10000m,W,Bronze,3
2008,Beijing,Athletics,Athletics,"DIBABA, Tirunesh",ETH,Women,10000m,W,Gold,1
